taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	
Mogera kanoana				AB181622																	AB181649		
Scapanus latimanus				AB076814			FJ385774																
Scapanus townsendii				AB076819			FJ361350																
Talpa occidentalis		X90843		FN640556																			
Scaptochirus moschatus			AB353298	AB306502																	AB306503		
Euroscaptor malayana			AB185156	AB185152																	AB185153		
Scaptonyx fusicaudus			AB106241	AB106229																	AB106232		
Uropsilus gracilis			AB106240	AB076700																	AB106231		
Uropsilus soricipes				JQ868723						AY249239						AY249874							
Neurotrichus gibbsii				FJ595237							JN208874						JN208871	JQ336984					
Urotrichus talpoides			AB106245	EU918370				AB455206		AB033608										AB638588	AB106239		
Parascalops breweri				AB076808		AF392883													AY451990		AF153004	AY986743	
Mogera tokudae			AB106243	AB638532											AB638535					AB638592	AB106235		
Erinaceus concolor	AY011692			AF379813	AY011926							AY011258	AY011383										
Euroscaptor mizura			AB176543	AB076828						DQ630336										AB638591	AB106233		
Erinaceus europaeus				JF318975		AF392882			U97536					JN414801		AY249871							
Scalopus aquaticus				HM461915				AB455200	AF076479	AF069539	AY842447			AY170089	AF496636	AY249872	HM060241	HM060243					
Galemys pyrenaicus	AY833410		AY833415		AY833414				AY121763	AY121771		AY833413	AY833417		AY121767				AY833416				
Condylura cristata	AY011693		AY011873	AB076812	AY011928			AB455170			JQ336983	AY011260	AY011385				JN208870	JN208866	AY011753		AY012101	AY011508	
Talpa altaica	JN633257		AB176542	AB037602	AY011927	JN414742			JN415065			AY011259	AY011384	JN414803	JN413891	JN414937			AY011752		AY012100	AY011507	
