taxon	control-region	PKDREJ	ZP3	MHC-DQ-beta	cytochrome-b	unknown	large-subunit-ribosomal-RNA	cytochrome-b.1	12S-ribosomal-RNA	Mos	LALBA	actin	Mb	GBA	RAG2	unknown.1	BDNF	PRM1	STAT5A	ATP7A	AMBN	
Tursiops australis					JN571476	JN571481																
Sousa teuszii	HQ699821					EU380409																
Mesoplodon traversii						JX901028		JX901029								AF439993						
Indopacetus pacificus						AY162436		AY162442					AB271143			AY162438						
Phocoena dioptrica					EF093009	U09695						EF092970			EF093056							
Cephalorhynchus heavisidii					AF084070	AF390968						EF092974			EF093060							
Berardius arnuxii					HQ400646	HQ400626		AY579565				AY579506				AF036229						
Hyperoodon planifrons					HQ400647	HQ400628		AY579559				AY579501				AF036225						
Lissodelphis peronii					EF093024	EF092938	Z18665		Z18664						EF093071							
Sotalia guianensis				FJ848544	EF488221	EF027072					EF027011	EF027041		EF027025								
Orcaella heinsohni	JN016532																	JF505017	JF505050	JF504783	JF504755	
Delphinus tropicalis		FJ490579	FJ490597		AF084088					AY178278							AY954641					
Hyperoodon ampullatus				DQ354637	X92539	DQ385849		AY579558				AY579499										
Hexaprotodon liberiensis							AF107222		AF107216								GQ487616	GQ368531		GQ487609		
Orcaella brevirostris	GQ922337			AB164223	X92527	JQ814472	JF504728		JF504718		EU121195	EU121219		EU121034								
Tasmacetus shepherdi					AF334484	AF036227		AY579564	AF334514			AY579503				AF036228		GQ368521				
Berardius bairdii						U70467	AF334493	X92541	AF334512									GQ368522				
Eubalaena japonica						JX441356											EU444889	EU444939	EU444951	EU444964	EU445000	
Mesoplodon peruvianus						AF492413	Z18654	AF492414	Z26882		AF228411	AY579494						GQ368518		EU444953	EU445003	
Feresa attenuata		JF504992			AF084052	DQ845435	JF504724		JF504714		JF504895	JF504733		JF504884				GQ368511	JF505043	JF504775	JF504750	
Sotalia fluviatilis		FJ490587			DQ086828	EF027080	AF304061		AF304055		EF027010	EF027042		EF027024				JF505012	JF505037	JF504769	JF504745	
Lissodelphis borealis		JF504987			EF093025	EF092942					JF504897	EF092986		JF504879	EF093072			GQ368509	JF505039	JF504771	EU445001	
Cephalorhynchus commersonii		JF504993			EF093023	HM368547	JF504725		JF504715		EU121189	EU121213		EU121028	EF093070			JF505015	JF505044	JF504776	JF504751	
Lagenorhynchus acutus		JF504991			EF093022	FR668244	JF504723		JF504713		JF504893	AF140825		JF504883	EF093069			GQ368510	JF505042	JF504774	JF504749	
Lagenodelphis hosei		JF504984	FJ490600		AF084099	EU121119	JF504721		JF504711		EU121187	EU121211		EU121026				JF505011	JF505036	JF504768	JF504744	
Lagenorhynchus albirostris		JF504990			X92530	EF092928	U13113		Z18646		JF504894	EF092975		JF504882	EF093065			JF505014		JF504773	JF504748	
Monodon monoceros		JF505003		U16991		U93885			AF334519		AJ007812			JF504887				GQ368516	JF505055	JF504787	JF504758	
Peponocephala electra		JF504997			AF084053	AY046904	JF504727		JF504717		EU121194	EU121217	AB271149	EU121033				JF505016	JF505048	JF504781	JF504754	
Globicephala melas		FJ490580	FJ490598		AF084056	EU121125	Z18641		U13086		EU121192	EU121216		EU121031						JF504777		
Platanista minor									AF334511					JF504889	JN414989		JN414117	GQ368523		JF701629	JF701623	
Stenella longirostris	AY989716	JF504980	FJ490606		AF084103	EF438306	JF504719		JF504709		EU121184	EU121208		EU121023				JF505007	JF505032	JF504764	JF504741	
Pseudorca crassidens		JF504996			AF084057	EF601199	EU685094		AF334523		EU697400	JF504734		JF504885				EU697406	JF505047	JF504780	EU697412	
Ziphius cavirostris					X92540	HQ400643	AB481398	AY579562	U13101		AF228412	EU476164		JF504888		DQ068235	EU444878	EU189423	JF505056	JF701628		
Steno bredanensis		JF504986			AF084076	AY842471	EU685095		EU685090		EU121198	EU121222		EU121037				EU697407	JF505038	JF504770	EU697413	
Balaena mysticetus				DQ354624		X72197	U13102		U13079		AJ007809	EF043289					EU444888	EU444938	EU444950	EU444963	EU444998	
Caperea marginata					X75586	X72198					AY398657				JN414980		EU444887	EU444937	EU444949	EU444962	EU444997	
Globicephala macrorhynchus		JF504994		AB164226	AF084054	AY168599	JF504726		JF504716		EU121191	EU121215		EU121030				GQ368512	JF505045	JF504778	JF504752	
Eubalaena australis		DQ318998		DQ354634		GQ389688					GQ408663			GQ408816	JN414981		JN414109	GQ368526		JN414085	EU444999	
Phocoenoides dalli		JF505000		EU698955	U09678	JX477605	JF504729			AY178288	EU121199	EU121223		EU121039			AY954643	GQ368514	JF505052	JF504785	JF504756	
Orcinus orca		JF504998			AF084061	M60409	EU685093		EU685088		EU121197	EU121221		EU121036	EF093058			EU697405	JF505049	JF504782	EU697411	
Pontoporia blainvillei	AF420606	JF505004		EU698962	AF334488	AY644440	AF304063		AF304057	AY178281	AF304093	JF504737			JN414990		JN414118	EU189421		JF504788	JF504760	
Inia geoffrensis					X92534	DQ217407	AF304062		U13087		AF304092	EU121229		EU121044	JN414984		JN414112	GQ368529		JN414088	JF504759	
Kogia breviceps		FJ490581	FJ490599		X92542	AY943675	Z18643		Z18642		AF304096		AB271147		JN414987		JN414115	GQ368525	AF165647	JN414091	JF701624	
Eschrichtius robustus		DQ318999		DQ354635	X75585	X72200	U13108		U13085		AF304099	EF043288			JN414982		EU444886	EU444936	EU444948	EU444961	EU444996	
Balaenoptera physalus		FJ490576	FJ490594	DQ300263	EU303337	FJ832130	U13103		U13080		AY398652			GQ352992			EU444880	EU444930	EU444943	EU444955	EU444990	
Hippopotamus amphibius							AF107223		AF107217								AY011488	GQ368528		AY011425		
Phocoena phocoena		JF504999	FJ490601	EU698960	X92533		AB481401		Z18656	AY178287	EU121201	EU121226		EU121040	EF093057		AY954642	EU697404	JF505051	JF504784	EU697410	
Kogia sima					AF334482	AY943736	AF304066		AF304060		AF304097			HQ585477			JF701632	GQ368524		JF701630		
Physeter catodon	AF547993			DQ354688	AF304073	DQ512925	AB481393		U13096	AY954634	AF304098		AB271144		JN414988		EU444877	EU189422	EU444940	EU444952	EU445004	
Platanista gangetica					AF158376		AF304064		AF334510	AY178280	AF304094						AY954646					
Megaptera novaeangliae				DQ354656	GQ353255	GQ353175	AY770540		AF334509		AJ007810	S73467		GQ352829	AF447539		EU444879	EU444929	EU444942	EU444954	EU444989	
Stenella attenuata		JF504982	FJ490602	EU698963	X56294	GQ852572					JF504899	EF092990	AB271146	JF504878	EF093077			JF505009	JF505034	JF504766	JF504742	
Lipotes vexillifer				JN202598	AF304071	AF324745	AF304065		AF304059	AY178282	AF304095			HQ585478			AY700119	JF701667		JF701627		
Delphinus capensis		JF504977	FJ490595	EU698952	AF084087	HE680171					JF504900	JF504730		HQ585467				JF505005	JF505029	JF504762	JF504738	
Neophocaena phocaenoides		JF505001			HM137090	HM106483	AB481391			AY178277	JF504892			FJ176354			AY954644	GQ368515	JF505053	JF504786	JF504757	
Sousa chinensis	DQ364693	JF504983	FJ490604	FJ940740		HQ221872	AF334507			AY178285	EF027008	EF027043		EF027026			AY954638	JF505010	JF505035	JF504767	JF504743	
Grampus griseus		JF504995			AF084059	DQ668044	AB481395		AB018582	AY178279	EU121196	EU121220		EU121035			AY954640	GQ368513	JF505046	JF504779	JF504753	
Balaenoptera acutorostrata		FJ490574	FJ490592	AB164201			AY770541				AY398649		AB271148	HQ585474			EU444885	EU444935	EU444947	EU444960	EU444995	
Delphinapterus leucas		JF505002		U16990		EU121134	U13107		U13084		AF228409	EU121227		EU121042	JN414985		JN414113	GQ368517	JF505054	GQ487604	EU445002	
Tursiops truncatus	GU599886	FJ490591	FJ490607	EF690295	AF084093		AB481403		U13100	AY178283		JQ002789		HQ585480	EF093076		JQ002728	GQ368508	JF505030	JQ002727	JF504739	
