taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	
Chiropotes albinasus			DQ166193																												JF938368	JF938525						
Tarsius lariang															FJ614560											HM470227			HQ908086	FJ614330								
Chlorocebus cynosuros					AY665650										AY665641											AM944509				JX983754				AB646982				
Rungwecebus kipunji					DQ381472						GU068067							GU068078							DQ381470	GU068062												
Hoolock leuconedys																	HM631802							HM631754						GU321289			HM631786				JQ861900	
Simias concolor				JF293253										JF293237	JF293189								JF293221							DQ143883						JF293274		
Procolobus verus				JF293249										JF293233	JF293185								JF293217													JF293270		
Gorilla beringei							AM407464	AM407536	AM407554	AM407446																	AJ619794											
Lophocebus albigena					AY665644						GQ144597				AY665632											AY665614				AY204830								
Cacajao rubicundus	JF919262												FJ542215				AF028485											DQ145529					AF028509					
Saimiri ustus																			HM765038	HM764845	HM764025	HM762643								EU232708								
Chiropotes satanas			DQ166192	DQ129681													AF028487									AF069966		DQ145530				JF938527	AF028511					
Colobus angolensis		JX856224									EU185724			DQ520715																AF295583						DQ520725		
Callicebus coimbrai																			HM764927			HM762531									JF938357	JF938513					HM765284	
Brachyteles hypoxanthus																			HM764912	HM764797	HM763978	HM762519	HM757705														HM765272	
Callithrix aurita															AF338392				HM764917	HM764802	HM763983										JF938270	JF938417				HM756989		
Cacajao melanocephalus																			HM764918	HM764825	HM764005		HM757732							FJ531649	JF938355	JF938511					HM765276	
Galeopterus variegatus		Z11807																	HM764956	HM764717	HM763899	HM762558																
Semnopithecus hector																			HM765045	HM764773	HM763954	HM762650	HM757682							AY519451								
Cynocephalus volans		JN414800																	HM764957	HM764718	HM763900	HM762559																
Presbytis comata																			HM765017	HM764765	HM763946	HM762622	HM757674															
Miopithecus talapoin					EF517806						EU185729				EF517800											AF164872											AY879647	
Lagothrix cana															HM757996				HM764978	HM764798	HM763979	HM762582														HM756987		
Pygathrix cinerea															HM757979				HM765018	HM764767	HM763948	HM762623	HM757676															
Trachypithecus delacouri															EU004465				HM765058	HM764776	HM763957	HM762663	HM757685							EU004474								
Pongo abelii				JF293242			DQ494885	DQ495107	DQ495197	DQ495793	EF568615			JF293226	JF293178		HM631792						JF293210	HM631744		AY765000				U38274			HM631776					
Miopithecus ogouensis		JX856236																	HM765001	HM764759	HM763940	HM762605	HM757669			AF164875												
Tarsius bancanus	JF919266	AF271423																	HM765057	HM764854	HM764034	HM762662	HM757754			AF153001			HQ897272	AB011077						AY012067		
Aotus griseimembra															AF338374				HM764901	HM764815	HM763995	HM762509	HM757723							DQ098870								
Pygathrix nigripes				JQ821936										JQ821871	JQ821864				HM765026	HM764769	HM763950	HM762631	JQ821925													JQ821880		
Cercopithecus lhoesti					AY048056						AY972666				AY048068				HM764937	HM764728	HM763910	HM762541	HM757639			AF394271										HM756938	DQ977914	
Saguinus imperator													FJ542217						HM765046	HM764837		HM762651									JF938344	JF938496				HM757013	JF489191	
Hoolock hoolock						AF172194						AF183604				AF172228														GU321287					AY505993			
Cacajao calvus		JX856219													HM758004		AF028484		HM764926	HM764824	HM764004	HM762530	HM757731										AF028508			HM757008	JQ931321	
Cercocebus agilis					FJ750633						EU179513		FJ542212		AY665631										FJ750615	FJ750706											AY879617	
Alouatta palliata															HM757998				HM764906	HM764811	HM763992	HM762514	HM757718			AF069964				DQ875741						HM756998	HM765267	
Cercopithecus mona					AF284281								FJ542206		AF284332				HM765070	HM764730		HM762676	HM757641			L35198				HQ450786								
Alouatta sara		JX856217																	HM764907	HM764812	HM763993	HM762515	HM757719							AY065887								
Chlorocebus sabaeus		AY434087		AY434055											HM757953				HM764954	HM764736	HM763917	HM762556	AY434073			L35187	JX312686			JX983814						HM756941	AY345950	
Pithecia irrorata	JF919264		DQ166197	DQ129682															HM765023	HM764852		HM762628								AY226183	JF938370	JF938528				HM757020	HM765374	
Cercocebus torquatus					AY195577						FJ713435				HM757968			AY488131	HM764955	HM764722	HM763904	HM762557	HM757633							JQ068152						HM756932		
Allenopithecus nigroviridis		JX856216			AY048053						AY671793		FJ542207		AF284331				HM764904	HM764719	HM763901	HM762512	HM757630														DQ978004	
Brachyteles arachnoides	JF919253		DQ166187	DQ129680													AF028478		HM764911		HM763977	HM762518	HM757704			AF069979		DQ145531		AF289989	JF938263	JF938408	AF028502			HM756986	FJ440378	
Lophocebus aterrimus	JF919248				AY195579						FJ713428				HM757969			JQ068156	HM764977	HM764741	HM763922	HM762584	HM757652		AF057434	L35192				JQ068153						HM756945		
Rhinopithecus roxellana				JQ821938		AF172177						AF183669		JQ821875	JQ821865	AF172211							JQ821929			AY233856				AF295581						JQ821884		
Hylobates muelleri														JN871452	HM757939		HM631803		HM764974	HM764786	HM763967	HM762578		HM631755						Y13300			HM631787					
Callithrix geoffroyi				AF092823							EU185730				HM758006				HM764933	HM764803	HM763984	HM762537	HM757709							HM368005	JF938278	JF938426					JN541358	
Nomascus gabriellae											AY544151			JN871460	HM757938		HM631800		HM765011	HM764788	HM763968	HM762615	HM757695	HM631752						GU595021			HM631784				JQ861888	
