taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	
Bison priscus											AY748635																													EF157288	
Sus salvanius																																						EF472247		EU107788	
Sus philippensis													AY920910																									DQ779371		AY920905	
Vicugna vicugna										GU117614		DQ539400		DQ534056										AY500899	AY994144						EU195441	EU195435								U06430	
Bubalus carabanensis									AB246782					JX218051								AB246783				AB246271	AB246274	AB246275	AB246276	AB246273			GQ259331							JQ394867	
Lama guanicoe	U53890									GU117617		DQ539397		DQ534053										AY500896	AY994139						EU195440	EU195434		GQ487607			Y08809	EF197381	GQ487620	U06428	
Phacochoerus aethiopicus		GU204954	GU204953	GU204951	GQ339063	GU204950	GU204949	GQ338979					GU204955																									AJ314537		AJ314551	
Hexaprotodon liberiensis													AF107216		AF165654		AY243372				AF165653		AY490680											GQ487609	EU168866		Y08811		GQ487616	Y08814	
Vicugna pacos										GU117616		DQ539399	DQ372814	DQ534055		AJ315941		AM905349	FM986349				AY490672	AY500895	AY994145						EU195438	EU195432				DQ530374		AY856147	JQ073058	AY839860	
Bubalus depressicornis	JX862178												U87062		JX862112				AF385484	JX862038	JX862079				U18822										DQ469603		AF091689			D88640	
Hippopotamus amphibius													AF107217			AJ251178	JN413966	JN414691		AY122012														AY011425		AJ575422	Y08810		AY011488	Y08813	
Phacochoerus africanus		GQ339099	GQ339090	GQ339072	GQ339062	GQ339007	GQ338988	GQ338978					GQ338942	HQ219073																			FN186128			EU684447		AY253794		GQ338969	
Potamochoerus larvatus		GQ339096	GQ339087	GQ339069	GQ339059	GQ339004	GQ338985	GQ338975					GQ338948	JQ690390																			FN186127				GQ338939	GQ338957		AY534300	
Bison bonasus	JX862168										AF083356			JF444283	EF693851				AF385485	JX862029	JX862069		AY490669		U62567		EU000430	EU000422					DQ336533		DQ469595					AY689186	
Potamochoerus porcus		GQ339097	GQ339088	GQ339070	GQ339060	GQ339005	GQ338986	GQ338976					GQ338949	GQ144632																			FN186126				GQ338940	GQ338958		AY534299	
Lama glama									AB107645	GU117612		DQ539398		DQ534054	AF165622	JN413852	AY243381	EU448989			AF165621	AB107644	AY490675	AY500898	AY994142	AB107651	AB107652		AB107649	AB107654	EU195439	EU195433		AY011426		HM921333	AY012144	AY856144	AY011489		
Bubalus bubalis	JX862177								AB246786				DQ916161	JX218052	JX862111				AF385489	JX862037	JX862078	AB246787	AY490667		AY689204	AB246354	EF567075	AB246355	AY325267	AB246353			DQ417872		DQ469599	JF894306	DQ867005				
