taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	
Herpestes brachyurus									FJ391196								FJ391225						
Diplogale hosei																	JQ219112			JQ219110			
Crossarchus alexandri																	AF522326			AY974024			
Macrogalidia musschenbroekii					JQ219114												JQ219116						
Homotherium serum						JQ937107											DQ097176						
Paradoxurus zeylonensis																	AB636165					FJ881603	
Cynogale bennettii																	DQ683992			DQ683983			
Paracynictis selousi																			AY750606	AY750651			
Arctogalidia trivirgata					DQ683981												AF125140				DQ683126		
Bdeogale crassicauda									FJ391186								AY950654		AY950642				
Eupleres goudotii			AJ891060											AJ891088	AJ893550								
Viverra megaspila																	AF511046		AY232617		DQ267567		
Helogale hirtula									FJ391199								AF522335		AY950647				
Miracinonyx trumani						DQ097172											DQ097175	DQ097166					
Smilodon populator						DQ097171											DQ097174	DQ097165					
Atilax paludinosus									FJ391185								AF522324		AY750604	AY974021			
Liberiictis kuhni									FJ391207								AF522342		AY950652	AY974035			
Bdeogale nigripes									FJ391187								AY950655		AY950643	AY974022			
Hemigalus derbyanus																	AF125143		AY170027	DQ683987	AY170082		
Herpestes naso									FJ391204								AF522339		AY950649	AY974032			
Galerella pulverulenta									FJ391192								AF522330		AY950645	AY974026			
Paradoxurus jerdoni					DQ683989												DQ683994				DQ683128	FJ881602	
Prionodon pardicolor				JN587108			DQ286783										AF511048		AY232610		DQ267573		
Genetta thierryi																DQ395203	AY241893		AY232625		DQ267560	DQ395234	
Poiana richardsonii																DQ395193	AF511049		AY232620		DQ267559	DQ395235	
Crossarchus obscurus									FJ391189								AY170101		AF039726	AY170041	AY170071		
Viverra tangalunga										AY750681							AY170112		AF039731	AY170055	AY170085		
Mungotictis decemlineata									JN378029								JN378095		AY170016		AY170063	JN377989	
Chrotogale owstoni							DQ286780										AF125144		AY232614	DQ683984	DQ683127		
Meles leucurus	AB539133	AB551119						GU247544									HQ711951		GU247567				
Galerella sanguinea									FJ391193								AF522331		AY950646	AY974027		GU183516	
Herpestes ichneumon									FJ391200								AF522337	EU584259	AY232611		DQ267571	GU183499	
Genetta servalina																DQ395190	AY170115		AY170029		AY170088	DQ395232	
Cynictis penicillata									FJ391190								AF511060		AY170024	AY974025	AY170079	U28425	
Galidictis fasciata			AJ891063							AY750677				AJ891091	AJ893547		AY170100		AY170022		AY170070		
Arctictis binturong				JN587091	DQ683980		DQ286781										AY048793				DQ683125	DQ302077	
Mungos mungo								AY928698	FJ391208								AY928674		AY170017	AY170035	AY170065		
Paguma larvata					DQ683990	HQ634966	DQ286784							AB371369			AB303954		AY525055		AB109339	EU910527	
Meles anakuma	AB539128	AB551116						AB564066						AB285399			AB285330		AB302259		AB082980		
Viverricula indica			AJ891082			HQ634947	DQ286782							AJ891100	AJ893552		AF511044	EF462465		DQ683991	DQ267568	HQ833310	
Rhynchogale melleri								GU931021	FJ391209		GU930911	GU931250	GU931284				AF522344		AY950653	AY974036			
Galidia elegans			AJ891062					GU931023			GU930913	GU931252	GU931286	AJ891090	AJ893546		AY170098	AF006403	AY170020		AY170069		
Ichneumia albicauda								GU931020	FJ391206		GU930910	GU931249	GU931283				AF522341		AY950651	AY974034		EU871433	
Civettictis civetta											GU930914	GU931253	GU931287				AF511043		AY232619	AY170048	AY170078		
Proteles cristatus								AY928703			GU930908	GU931247	GU931281				AY928679						
Catopuma badia								DQ081841			DQ081759	DQ082359	DQ082404					AF006435	DQ082531				
Parahyaena brunnea								AY928701			GU930907	GU931246	GU931280				AY928677					EU274640	
Hyaena hyaena								AY928702			GU930906	GU931245	GU931279				AY928678	EF107510			DQ267570		
