taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	
Petromyscus monticularis								AY294906		AY294999									
Cricetomys emini											AY326081				AF160613				
Brachyuromys betsileoensis											AY326079				AF160516				
Brachyuromys ramirohitra								GQ272594							AF160514				
Eliurus myoxinus				HM223843							HM223875				HM223721				
Dendromus mesomelas								AY294902		AY294997		AY241501							
Gymnuromys roberti								GQ272595			HM223871				AF160575				
Monticolomys koopmani								GQ272598			AY326096				AF160580				
Voalavo gymnocaudus								GQ272604			AY326114				AF160597				
Steatomys parvus								GQ272602			AY326110				AF160599				
Eliurus majori				HM223839	HM223886	HM223895					HM223872				HM223717				
Beamys hindei								AY294904		AY294998	AY326077	AY241502			AF160608				
Macrotarsomys ingens	AJ275564		AJ275563						AJ891070							AJ402705		AJ275565	
Nesomys rufus	AJ275569		AJ275568					GQ405385			AY326099					AJ402701		AJ275570	
Pan paniscus		HM759078					AY276085						AY318834	DQ977198			HM763828		
Pan troglodytes		HM759079					AY276624						AY318831	X86380			AF535050		
Brachytarsomys albicauda		JQ073177						AY294908	AJ891049		AY326078				AF160519	AJ891083	JQ073054		
Hypogeomys antimena		JQ073178						AY294907	AJ891066		AY326089				AF160578	AJ891094	JQ073055		
Saccostomus campestris	AJ277514		AJ277513					GQ272601			AY326109				EF529789	AJ402694		AJ277515	
Mystromys albicaudatus	AJ275559		AJ275558					GQ272600			AY163594				AF160606	AJ402695		AJ275560	
Cricetomys gambianus	AJ277519		AJ277518					AY294905	AJ891054			AY294969			HM635842	AJ402696		AJ277520	
