taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	
Eospalax fontanierii																				AF326264							AF326245									
Abrothrix longipilis															AY277419					EU683434																
Abrothrix olivaceus															AY277420					HM167798																
Eliurus myoxinus															HM223875					HM223721														HM223843		
Saccostomus campestris														GQ272601	AY326109					EF529789																
Acomys spinosissimus															AY326074	FJ415547				AM409396																
Niviventer confucianus							JF445111								AY326100					JF796030																
Sigmodon alstoni															EU635698		AY459384			EU652907																
Sigmodon toltecus															EU635721		AY459378			AF293402																
Eospalax baileyi																				EF522070					DQ229099		EF521968	EF570430								
Acomys wilsoni															EF187775	AJ012046				JN247684			U18832													
Eliurus majori				HM223886	HM223895										HM223872					HM223717														HM223839		
Maxomys whiteheadi			JF437046			GU294899	JF459839								AY326094					DQ191481	AF000748															
Maxomys bartelsii						GU294876	JF459707							DQ019066	EU349857					EU349762			DQ019106													
Reithrodontomys mexicanus							JF444720	HQ269527						EF989806	EF989906		HQ269796			AY859438																
Nannospalax nehringi	HQ652176									HQ652267	HQ652312	HQ652228								FJ656279							HQ652143									
Reithrodontomys fulvescens							JF446187	HQ269525						EF989803	EF989904		AY274211			AY859465				U83832												
Niviventer cremoriventer			JF437039			JF343492	JF459857							DQ019067						EF053031	AF000750		DQ019109				AJ005779									
Pan troglodytes	AB062547	HM763238	HM758908										AY276623						AY318831								X93340			AY017016	X86380		L49350		HM765385	
Pan paniscus	AB065143	HM763236	HM758906										AY276085						AY318834								AJ627523			AY017013	DQ977198		L49354		HM765378	
Nannospalax galili	HQ652153								AM419201	HQ652255	HQ652299	HQ652206						AJ715795				AM039929				AM085490	HQ652110		AM419203			JN575736		AJ440425		
