taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	
Indri indri						DQ856049														AY043340			AY441455							
Galagoides zanzibaricus													AY441647								AF212954		AF212964							
Allocebus trichotis						EU779959		AY441480							AY441685	AY441703							AY441461							
Phaner furcifer									AY441494	AY441500	AY441506						AY441733						AY441456							
Euoticus elegantulus							JX856192														AY897398	JX856261	AY441469	JX869907						
Avahi occidentalis						AY582560								AY441672						AY043343			AY441454				AY584483			
Mirza zaza						EU779961													EU835918				DQ093171		EU835912		EU835915	EU835914		
Hapalemur aureus						AY582550												AB078200		AY582715			AY441446				AY515558			
Cheirogaleus crossleyi																			EU825610				EU825360		EU825425	EU825511		EU825303		
Hapalemur simus						AY582547						AY441563						AB078253		AY582714		AJ891092	AJ428977				AY569210			
Varecia variegata				JF919269	AF072428							AY441561								AY043339			Z34985							
Galagoides demidoff							JX856193						AY441646								AF212955	JX856262	AY441472	JX869908			AY434077			
Cheirogaleus major						AY582563									AY441686			AB078310	EU825548	AY043347			EU825343		EU825407	AY584487		EU825275		
Microcebus myoxinus																		AB078222	EF052423				GU327355		GU232128		GU327016	GU231012	JX017488	
Galago thomasi	HM760830	HM759961	HM759437																									HM765247	HM764885	
Varecia rubra	EU057223	HM760069	HM759545			AF224592	JX856214												AY434048	AF175791		JX856282	U53578	JX869930	EU342267		L22785	HM765238		
Microcebus ravelobensis	EU057216					EF175222													GU232253	AY582674			GU327217		DQ003411		GU327031	GU231060	JX017499	
Lepilemur jamesi	HM760845	HM759976	HM759452																				EU200438					HM765241	HM764878	
Galeopterus variegatus	HM760820	HM759947	HM759423				AF540625															U31606		EU213056				HM765079	HM764717	
Cynocephalus volans	HM760821	HM759948	HM759424				AF332019															JN415063		EU142211				AF535031	HM764718	
Propithecus edwardsi	HM760888	HM760014	HM759489			AY582556																	HQ731549				AY584484	HM765223	HM764863	
Arctocebus calabarensis	HM760777	HM759889	HM759365										AY441642							DQ073479			AY441474					HM765244	HM764881	
Lepilemur ankaranensis	HM760843	HM759971	HM759447			DQ529622														DQ529428			DQ109025					HM765239	HM764876	
Avahi laniger	HM760784	HM759895	HM759371			AF224598														AJ429616			AY441453				AY584482	HM765221	HM764861	
Nycticebus bengalensis	HM760871	HM760001	HM759477																	EU680968			AY441477					HM765249	HM764887	
Eulemur albifrons	EU057199	HM759952	HM759429		AF072416	EF552593												AB078289	AY434040	AF175797			AF081048		EU342246		AF081043	HM765227	HM764868	
Eulemur coronatus	EU057198	HM760063	HM759539		AF072415	AF224523	AF540627					AY441562						AB078212	EU342339	AY043335			AY441448		EU342245			HM765226	HM764867	
Galago moholi	HM760828	HM759959	HM759435																	DQ073481	AF212961		AY441470					EU342229	HM764883	
Perodicticus potto	HM760880	HM760015	HM759490				JX856205						AY441641							DQ073519		JX856274	AF271413	JX869920				HM765252	HM764890	
Loris tardigradus	HM760848	HM759980	HM759456				JX856199						AY441639						AY434051	DQ073503	AF212953	JX856268	U53581					HM765248	HM764886	
Mirza coquereli	HM760864	HM759983	HM759459	JF919273		AF224623		AY441479						AY441702	AY441684				EU835933	AJ429628			AY441462		EU835928		AY321460	EU342234	HM764859	
Nycticebus pygmaeus	HM760873	HM760006	HM759481										AY441640						EU342343	EU680969			AY687891		EU342262			HM765251	HM764889	
Otolemur garnettii	HM760827	HM759958	HM759434										AY441643								AF212958		AF271412	JQ772097	EU342263			HM765245	HM764882	
Otolemur crassicaudatus		HM760008	HM759483																		AF212957	AF061064	U53579					HM765243	HM764880	
Propithecus verreauxi	HM760890	HM760029	HM759504	JF919270			JN414750							AF032321						AJ429620		AJ410294	HQ731525					HM765225	HM764865	
Daubentonia madagascariensis	EU057197	HM759951	HM759427				JN414749							AY441675	AY441690				AY434049	AY043348			AY441444		EU342244			EU342219	HM764856	
Lemur catta	HM760840	HM759974	HM759450	JF919268	AF072422	AF053684	JN414751		AY441495	AY441501		AY441564		AY441535	AY441688	AY441705	AY441735	AB078229	AY434046	AY012130		AJ410292	AF175953		EU342256		L22780	HM765237	HM764874	
