taxon	BRCA1	ApoB	BRCA1.1	vWF	unknown	protamine-P1	ND2	unknown.1	Rag1	control-region	12S-ribosomal-RNA	IRBP	omega-globin	ND4	beta-fibrinogen	Cytb	ApoB.1	
Dorcopsis hageni																HQ284010		
Phalanger maculatus								AB326412			AF108222							
Petaurus australis													GQ323979	GQ323955				
Thylogale calabyi										JF514600						HQ283995		
Dendrolagus inustus									AY243388							FJ937821		
Bettongia tropica									JX104593				JX104641				JX104618	
Thylogale billardierii										FJ986413			HQ283979			JN202485		
Potorous gilbertii		JX104616	JX104603						JX104591				JX104639					
Strigocuscus pelengensis	FJ624004			FJ624074					FJ624051			FJ624027					FJ623988	
Trichosurus johnstonii	FJ624005			FJ624076					FJ624053			FJ624029					FJ623990	
Dasyurus hallucatus					JQ979248	L35341						AY532679			AY531249	M99460		
Dasyurus spartacus					AF082773	AF010275						AY532682			AY531252	U07581		
Bettongia gaimardi	FJ603168			FJ603250					FJ603223			FJ603196					FJ603144	
Spilocuscus maculatus	EF025764	FJ623985		FJ624071					FJ624048			FJ624024						
Strigocuscus celebensis	EF025759			FJ624073					FJ624050		AY735445	FJ624026					FJ623987	
Petropseudes dahli	FJ624000	FJ623980		FJ624066					FJ624042			FJ624018						
Wyulda squamicaudata	FJ624006	FJ623991		FJ624077					FJ624054		AY735446	FJ624030						
Pseudochirulus caroli	GU199277			GU199317					GU199311			GU199305					GU199271	
Hemibelideus lemuroides	FJ623997	FJ623976		FJ624062					FJ624038			FJ624014						
Pseudochirops albertisii	GU199279			GU199319					GU199313			GU199307					GU199273	
Lasiorhinus latifrons	FJ623998			FJ624063					FJ624039			FJ624015				HM008259		
Petauroides volans	AY243455	FJ623978		FJ624064					FJ624040			FJ624016		DQ889448				
Phalanger gymnotis	EF025762	FJ623981		FJ624067					FJ624043		AF108218	FJ624019						
Ailurops ursinus	EF025758	FJ623969		FJ624055					FJ624031		AY735447	FJ624007						
Trichosurus caninus	EF025761			FJ624075					FJ624052		AY245623	FJ624028				AF152861	FJ623989	
Pseudochirulus herbertensis	AY243448			FJ624069					FJ624046			FJ624022					FJ623983	
Onychogalea unguifera	FJ603188	FJ603160		FJ603269		AF187543			FJ603242			FJ603214						
Macropus parma	FJ603183	FJ603155		FJ603264					FJ603237			FJ603209				EF368030		
Dactylopsila palpator	FJ623994	FJ623972		FJ624058					FJ624034			FJ624010						
Dendrolagus lumholtzi	JQ042207						JQ042161			AY040881			JQ042230			JQ042138		
Burramys parvus	FJ623992	FJ623970		FJ624056					FJ624032			FJ624008						
Spilocuscus rufoniger	EF025763	FJ623986		FJ624072					FJ624049		AF108221	FJ624025						
Lagostrophus fasciatus	FJ603176	FJ603149		FJ603258		AY189936			FJ603230			FJ603203						
Dorcopsulus vanheurni	FJ603173	FJ603147		FJ603255		AF187539			FJ603227			FJ603200				FJ937797		
Pseudochirops archeri	FJ624002			AY243409					FJ624045			FJ624021					AY243425	
Gymnobelideus leadbeateri	EF025766	FJ623975		FJ624061					FJ624037		U21173	FJ624013		GQ323964				
Petaurus norfolcensis	FJ623999	FJ623979		FJ624065					FJ624041			FJ624017	GQ324000	GQ323933		FJ657606		
Distoechurus pennatus	FJ623996	FJ623974		FJ624060					FJ624036		U21170	FJ624012						
Petrogale brachyotis	JQ623268						JQ623170			HM136901			JQ623460			JQ042120		
Onychogalea fraenata	FJ603187	FJ603159		FJ603268		AF187542			FJ603241			FJ603213				AY099278		
Macropus irma	FJ603182	FJ603154		FJ603263			JN967006		FJ603236			JN967009				JN967002		
Lagorchestes hirsutus	FJ603175			FJ603257		AF187544			FJ603229			FJ603202				AY099273	FJ603142	
Dactylopsila trivirgata	FJ623995	FJ623973		FJ624059					FJ624035		U21172	FJ624011		GQ323963				
Cercartetus concinnus	GU566715			GU566724					GU566721			GU566718		EU364635			GU566712	
Potorous longipes	FJ603191	FJ603163	JX104604	FJ603272		AF187548			JX104592			FJ603217	JX104640					
Petrogale lateralis	GU566716	GU566713		GU566725			JQ042153		GU566722	AF348694		GU566719	JQ042222			JQ042130		
Lagorchestes conspicillatus	FJ603174			FJ603256			JN003384		FJ603228			FJ603201				JN003385	FJ603148	
Wallabia bicolor	FJ603195	FJ603167		FJ603276		L35328	JN003388		FJ603249			FJ603221				EF368031		
Setonix brachyurus	FJ603193	FJ603165		FJ603274		AF187541			FJ603247	AF380321		FJ603219				AY099269		
Acrobates pygmaeus	FJ603119	FJ603115		FJ603136					FJ603131			FJ603126						
Cercartetus nanus	EU160440			EU160455					EU160452			EU160449		EU364648			EU160445	
Aepyprymnus rufescens	EU160439	EU160444		EU160454		AF187547			EU160451			EU160448				EU086684		
Hypsiprymnodon moschatus	DQ354446	FJ603118		FJ603139		AF187545			FJ603133			FJ603129						
Pseudocheirus peregrinus	FJ624001	FJ623982		FJ624068					FJ624044		U21185	FJ624020		GQ323960				
Phascolarctos cinereus	AY243445	JN413939		AY243406		U87789			AY243387		U61076	AY243434				AF166348		
Tarsipes rostratus	FJ603124	JN413942		FJ603137					FJ603132		U21189	FJ603128						
Vombatus ursinus	AF284031			AF497260					AY243397		U61078	AF025386				AF102814		
