taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	
Eudorcas rufifrons										AF030472	AF030606																						
Hippotragus leucophaeus											U18274																	U18275					
Naemorhedus caudatus											U17861																DQ355013						
Madoqua saltiana												JX647817																			JX647834		
Gazella cuvieri											JN410343													JN410342									
Redunca arundinum											AF096628			U87046																			
Dorcatragus megalotis												JX647818																			JX647835		
Capricornis swinhoei											AF547433	D32173											AF480621										
Pseudonovibos spiralis							AF231029				AJ006415										AF281087												
Madoqua guentheri										AF030464	AF022071													AY534340									
Myotragus balearicus							AY380561				AY380560														AY380563								
Kobus vardonii					U87001						AF096619			U87051																			
Addax nasomaculatus											AF034722			U87023								AF117309										FJ773341	
Gazella arabica											KC188765	JX647815												KC188740							JX647831		
Alcelaphus caama					U86990						AF300899									U87040												FJ773336	
Pseudois schaeferi							AF201082				AF398353								JQ040800												AY449533		
Alcelaphus buselaphus											AF016640	AF210160						AF210181											AF210225		AF210203		
Procapra picticaudata					AF401510						DQ017353			U87056										DQ269162		DQ017355							
Ourebia ourebi										AF030460	AF320574			U87054				AF210196											AF210240		AF210218		
Nanger dama										AF030469	HQ122592	JN018099						JN018098											JN018097		JN018096		
Tetracerus quadricornis							AF091690				AF036274	AY670668		EF219405							AF091643												
Beatragus hunteri						EF033146					AF034968	AF210159						AF210180		U87038									AF210224		AF210202		
Hemitragus hylocrius							AY846817				AY846792	DQ236301						AY846808													DQ236290		
Hemitragus jayakari							AY846816				AY846791	DQ236300						AY846804													DQ236289		
Raphicerus melanotis					AF249983					AF030462	AF022053	AF210170		AF249977				AF210191											AF210235		AF210213		
Capricornis crispus			AB555648				U86979				U17865	D14376		U87029									AB055696										
Litocranius walleri										AF030465	AF249974	AF210167		AF249975				AF210188											AF210232		AF210210		
Cephalophus jentinki				HQ644094			AF154252				AF153888							JN645611											JN645670	JN645577	JN645627		
Pelea capreolus						EF033149					AF022055	AF210165		U87044				AF210186											AF210230		AF210208	FJ773332	
Taurotragus derbianus							AY667206				AF022062			AY667193				AY667162											AY667217	AY667177	AY667232		
Procapra gutturosa					AF387626						DQ266332	JX647820		AF401514								AB473609		DQ269158		DQ266310					JX647836		
Raphicerus campestris					U87002	EF033153				AF030461	AF022068	AF210168		U87052				AF210189											AF210233		AF210211		
Connochaetes taurinus						EF033147					AF034969				FM986343					U87042												FJ773338	
Connochaetes gnou						EF033148					AF016637	AF210161						AF210182		U87043									AF210226		AF210204	FJ773337	
Saiga tatarica						EF033152					U17864	D32188		U87053										D32199							AY449535	FJ773321	
Hippotragus equinus				HQ603146							AF022060	AF210158		U87025				AF210179										U18283	AF210223		AF210201	FJ773343	
Naemorhedus goral				HQ269427			AY141131				EU259118	D32179		U87028									EU259133								AY449532		
Cephalophus adersi				HQ644086			AF154247				AF153883							JN645603											JN645661	JN645565	JN645639		
Nanger granti				HQ603108		EF033151				AF030468	AF034723	AY670669		EF033136		AY122029					AF091654			DQ470782								FJ773323	
Redunca fulvorufula											AF096627	AF210162		U87045		AY122031		AF210183			AF091658								AF210227		AF210205	FJ773330	
Oryx gazella				JF444372							AF249973	AF210156		M86500				AF210177											AF210221		AF210199	FJ773340	
Madoqua kirkii											AF022070	AF165760		M86495				AF165757											AF165761	JN645574	AF165758		
Kobus leche					U86999						AJ235328	AF210164		U87049				AF210185											AF210229		AF210207	FJ773326	
Capra cylindricornis		AY082497	AY082489				AF363778				DQ514549												AJ317870										
Antilope cervicapra										AF030467	AF022058	JX647812		DQ530060								AY720706		AY275642							JX647828		
Damaliscus lunatus											AF016635	AF165776						AF165773											AF165777	AF165772	AF165774	FJ773334	
Oryx dammah				JF444371		EF033141					AJ222685	AF210157		U87020	FM986342			AF210178											AF210222		AF210200	FJ773339	
Rupicapra pyrenaica							AY846818				AF034726	DQ236341					AY212155	AY846810							AY894420						DQ236297		
Hexaprotodon liberiensis							Y08811		GQ487616		Y08814																		AF165657	AF165652	AF165654		
Damaliscus pygargus											AF016639	AY122002		M86499		AY122028		AY846794			AF091653										DQ236280	FJ773333	
Neotragus moschatus				JN645581		EF033155				AF030463	AJ222683	AF210171		EF033135				AF210192			AF091657								AF210236	JN645575	AF210214	FJ773317	
Sylvicapra grimmia				HQ603155			AF154270				AF153904	AF210174		AF249980				JN645606											JN645664	JN645556	AF210217		
Pseudois nayaur							AF201081				JQ406569	AY670682		U87031				AY846802	JQ040801				JN839997								DQ236296		
Oreotragus oreotragus				HQ603154		EF033154					AF022052	AF210172		EF033134				AF210193			AF091656			HQ641311					AF210237	JN645576	AF210215		
Philantomba maxwellii				HM144027			AF154258				AF153894			U87016				JN645596											JN645655	JN645558	HM143945	FJ773320	
Capra pyrenaica		AY082505					AM158313				AM279278						AF461695						AM261622										
