taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	marker.40	marker.41	marker.42	marker.43	marker.44	marker.45	marker.46	marker.47	marker.48	marker.49	marker.50	marker.51	marker.52	marker.53	marker.54	marker.55	marker.56	marker.57	marker.58	
Anomalurus beecrofti																																					JN415075																							
Callosciurus caniceps																																				AB043875																								
Idiurus macrotis																																					FM200056																							
Castor fiber																																				AJ389529									AJ389542															
Castor canadensis																																				AY793644									U67297															
Massoutiera mzabi				AJ427265																								FM162129																							AM407921									
Acomys percivali			EF187785				AJ012039																													EF187813																								
Ctenodactylus vali			AM407923																																		AJ238387								AJ389543															
Orthogeomys grandis																														AY331247									AY331226																			AY331083		
Meriones tamariscinus																									JN604809											JN604768								AB381916																
Thomomys mazama																														AY331257									AY331236																			AY331092		
Geomys texensis																														AY331251									AY331230																			AY331086		
Orthogeomys cherriei																														AY331244									AY331223		L32687																	AY331079		
Sciurus lis															AB192939																					AB192907		AB249880							D50286											FN678794				
Heteromys anomalus	EF156810											GU647039	GU731466																											EF156775										EF156848										
Apodemus draco			AB096850											JF444241																						JQ043425																		AB285445			AB303260			
Sciurus carolinensis														JF457107						AY239483																FJ200744		JX104448							JN113040											FN678793				
Chaetodipus intermedius	EF156823								AY258986																											AY926389				EF156788			AY648506							EU107500										
Ctenodactylus gundi			JN414815	AM407922																								JN633199									JN415077								U67301						AF332042									
Callosciurus prevostii														JF459623	AB259602					AY239487												AY241480	AY241522			AB043880																								
Perognathus flavus	EF156826		GQ480822																																					EF156791			AY926417		U67298					EU107516										
Chaetodipus hispidus	EF156822		GU985160											JF445336																						AY926391				EF156787			AY009254							EF156860										
Glirulus japonicus			AB253965																												AB218859			AJ536362	AJ536383										D89007								AB253951	AB253973						
Apodemus argenteus			AB032855																						AB615366		AY693982									AB164576																AB615376		AB285443			AB303264			
Thomomys bottae			HQ141758																											AY331253									AY331232			L32682			AF084289						HQ141777							AY331088		
Sicista kazbegica		AJ275515	FM200058		AJ275516	AJ275517		AJ275513																													AJ297764																						AJ275514	
Tamias quadrivittatus	AF147691										AF147612				AY282449							JN042217	JN043052			JN042844										AF147658																			FJ804343					
Heteromys gaumeri	EF156813		FM200057									GU731447	GU731497	JF445464																										EF156778					AJ389547					EF156851										
Dipodomys nelsoni	EF156805		GQ480799																		JN661682																			EF156768			AY009253		JN661639					EF156841	JN661667									
Allactaga bullata										JF938824						JF938700	JF938722	JF938748	JF938801		JF938877			JF938774																									JF938900		JF938851									
Tamias senex	AF147694										AF147617				AY282451							JN042306	JN043202			JN042956						EU250708	EU250676			AF401941																			EU250620					
Acomys cahirinus			AJ698898	FN984740			FJ415543																					FN984741	FN984744							Z96053	AJ402715								X84387						FN984742					EF467171				
Dipodomys heermanni	EF156803		JN414820	JN413831																								AY011584									JN415081			EF156765			AY926436		AY012119					EF156838	JN414759									
Sicista tianshanica			AF297288							JF938815							JF938713	JF938739	JF938792		JF938868			JF938765				AY303192	AY303211																				JF938891		JF938842									
Dryomys nitedula			AB253956	AJ427257																								AY303185	AY303204		D88998			AJ536360	AJ536388	AJ225116	AJ224666								AJ225119								AB253946	AB253969						
Meriones unguiculatus			AY326095	FN984752																								FN984753	FN984756							AF159405	FN984757							AB381914	DQ385846						FN984754					AF117314				
Eliomys quercinus			JX457713	FM162048																								FM162124	FM162092					AJ536358	AJ536386	HE613988	FM162068								Y16896						FM162076		AB253947	AB253967						
Glis glis			AB253961	AJ427258										FJ808617														FM162125	FM162093					AJ536365	AJ536391	FM160661	AJ224668								X84385						FM162077		AB253955	AB253971						
Muscardinus avellanarius			AB253959											JF499319				AY011395										AY011577			D88999			AJ536363	AJ536385	FN796782									AY012112	AY011332	AY011459	AY011764	AY011938				AB253949	AB253968						
Graphiurus murinus			AB253960															JN633754										AY303187	AY303206					AJ536371	AJ536395	AJ225115	JN415083								AJ225118	JN633562	JN633386	JN633122	JN633334		AF332031		AB253950	AB253970						
Allactaga elater		AJ275520			AJ275521	AJ275522		AJ275518		JF938829						JF938704	JF938727	JF938753	JF938806		JF938882			JF938779												JQ954936	AJ224661								AJ389545				JF938905		JF938856								AJ275519	
Pan paniscus	AB065143								AB296237	HM763123																		HM763236												AJ627523						HM764625	HM763828	HM759869	HM758906					HM759078						
Pan troglodytes	AB062547								AB296236	HM763124																		HM763238												L35183						HM764626	AF535050	HM759806	HM758908					HM759079						
Dipus sagitta		AJ275530	AF297285		AJ275531	AJ275532		AJ275528		JF938822				KC017845			JF938720	JF938746	JF938799		JF938875			JF938772				AY303184	AY303203								AJ224665								AJ319807				JF938898		JF938849								AJ275529	
