taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	
Herpestes fuscus	FJ391231										FJ391191				FJ391215			
Helogale hirtula											FJ391199	AY950647			AF522335			
Bdeogale crassicauda											FJ391186	AY950642			AY950654			
Herpestes brachyurus	FJ391229										FJ391196				FJ391225	FJ391224		
Bdeogale nigripes	AY974022										FJ391187	AY950643			AY950655			
Atilax paludinosus	AY974021						JF444116				FJ391185	AY750604			AF522324			
Galerella pulverulenta	AY974026							AF522329			FJ391192	AY950645			AF522330			
Liberiictis kuhni	AY974035						JF444174				FJ391207	AY950652			AF522342			
Herpestes naso	AY974032							AF522340			FJ391204	AY950649			AF522339			
Crossarchus obscurus	AY170041	AY170071					JF444125				FJ391189	AF039726			AY170101			
Cynictis penicillata	AY974025	AY170079									FJ391190	AY170024			AF511060		U28425	
Galerella sanguinea	AY974027							AF522332			FJ391193	AY950646			AF522331	GU183543	GU183516	
Mungos mungo	AY170035	AY170065							AY928750	AY928698	FJ391208	AY170017	AY928686	AY928726	AY928674			
Rhynchogale melleri	AY974036		GU930850	GU931141	GU931217	GU931284				GU931021	FJ391209	AY950653	GU930891		AF522344			
Ichneumia albicauda	AY974034		GU930849	GU931140	GU931216	GU931283				GU931020	FJ391206	AY950651	GU930890		AF522341		EU871433	
Suricata suricatta	AY170054	AY170084	GU930846	DQ082719	GU931213	DQ082416			JQ073171	DQ081853	FJ391210	DQ082542	GU930888		AY170111	D28906		
