taxon	trnL-trnF-intergenic-spacer	contains-AtpB-and-atpB-rbcL-intergenic-spacer	5.8S-ribosomal-RNA	psbD	psbE	rpl2	rbcL	trnQ-rps16-intergenic-spacer;-trnQ5'-rps16	psbB	rps7	small-subunit-ribosomal-RNA	contains-trnH-psbA-intergenic-spacer-and-PsbA	Ac-III-transposable-element-insertion-site	At2g28050-like-protein	18S-small-subunit-ribosomal-RNA	atpB	FWA	trnL-trnF-intergenic-spacer.1	matK	cob	petD	rps16	18S-ribosomal-RNA	rpoC1	are11	sequence-12	5.8S-ribosomal-RNA.1	are3	ycf3	trnL	atpA	ndhF	trnS-ycf9-intergenic-spacer	trnS-ycf9-intergenic-spacer.1	trnL-trnF-intergenic-spacer.2	
Stemona collinsae												AB373195							AB373226				AB429266													
Pandanus discostigma								JX287172											JX286823																JX286971	
Freycinetia marginata								JX287149											JX286800																JX286956	
Chorigyne pendula							AJ235808								AF207024	AJ235607																				
Barbacenia ignea		JN016993	JN016941									JN017045																		JN016889						
Barbacenia purpurea		JN017007	JN016955									JN017059																		JN016903						
Vellozia hatschbachii		JN017025	JN016973									JN017077																		JN016921						
Vellozia sessilis		JN017034	JN016982									JN017086																		JN016930						
Thoracocarpus bissectus		JN017010	JN016958									JN017062																		JN016906						
Xerophyta dasylirioides		JN017036	JN016984									JN017088																		JN016932						
Xerophyta equisetoides		JN017038	JN016986									JN017090																		JN016934						
Stemona parviflora												AB490154									AB490139	AB490146								DQ085268						
Freycinetia javanica		AY337634																												AY337700				AY337656	AY337678	
Pentastemona sumatrana							AF307490								AF309406	AF308035														DQ085274						
Barbaceniopsis boliviensis		JN016996	JN016944									JN017048																		JN016892						
Barbaceniopsis castillonii		JN016997	JN016945									JN017049																		JN016893						
Martellidendron cruciatum		AY337624						JX287235																						AY337690			AY337646		JX287027	
Martellidendron karaka							FN870868	JX287234											JX286739											AY337710					JX286904	
Croomia japonica		EU075372					AF307493								AF309408	AF308039														DQ085275		AF547002				
Pandanus microcarpus		AY337621						JX287111											JX286762											AY337687			AY337643		AY337665	
Sararanga sinuosa		AY337638						JX287223											JX286874											AY337704			AY337660		JX287015	
Sararanga philippinensis		AY337637						JX287222											JX286873											AY337703			AY337659		AY337681	
Acanthochlamys bracteata		JN016989					HQ845619					JN017041							AY952413	DQ916683										JN016885	AY299698					
Stichoneuron caudatum							AF307492	JX287061				AB373200			AF168875	AF168947			AB373231											DQ085272		AF547010				
Croomia pauciflora		EU075377					AY298827	JX287063			DQ629458				AF168835				AY437815	DQ916685										DQ085276	AF197708					
Carludovica drudei				AY465675	AY465598	AY465727	AY465702		AY465571	AY465626						AY465545			GQ429062					GQ429090								AY465650				
Carludovica palmata		AY337640					AF197596	JX287060							AF293756	AF293861			JX286711											AY337706	AF197707	DQ355787	AY337662		AY337684	
Cyclanthus bipartitus		AY337639	JN016949				AY007660					JN017053			AF168837	AF168904			FR832750											AF293103	AY299754	AY224992	AY337661		AY337683	
Talbotia elegans		JN017009	JN016957	AY147655	AY147563	AY147702	AY149358	JX287266	AY147516	AY147467		JN017061			AF206861	AY147609			FR832731	DQ916736										AF293095	AF039247	AF547011			JX287058	
Arabidopsis arenosa	DQ529074												EU480600	EU553731			AB367810	DQ529021							AY170199	AY170206	U43230	AY170185	AY170186							
Arabidopsis thaliana	EF586338						JN890748						EU480675	GQ343738			AB363661	EF586455							AY164081	AY164106	AJ232900	AY162005	AY163906							
