taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	marker.40	marker.41	marker.42	marker.43	marker.44	marker.45	marker.46	marker.47	marker.48	marker.49	marker.50	marker.51	marker.52	marker.53	marker.54	marker.55	marker.56	marker.57	marker.58	marker.59	marker.60	marker.61	marker.62	marker.63	marker.64	
Indri indri																						DQ856049																							AY043340		AY441455																			
Galagoides zanzibaricus											AF212954																																		DQ073497		AF212964												AY441647							
Chiropotes albinasus			AF420048									DQ166193																																				JF938368	JF938525																	
Mirza zaza																						EU779961		EU835912						EU835915			EU835914														DQ093171																			
Phaner furcifer																																															AY441456									AY441494	AY441500	AY441506					AY441733			
Allocebus trichotis																						EU779959																									AY441461								AY441480						AY441685	AY441703				
Cheirogaleus crossleyi																								EU825425					EU825218	EU825511			EU825303														EU825360																			
Avahi occidentalis																						AY582560								AY584483															AY043343		AY441454													AY441672						
Tarsius tarsier						FJ648401	FJ648373																										FJ648394			FJ648368			FJ648384																											
Rungwecebus kipunji		DQ381471							GU068067	DQ381472																					EU600172													DQ381470																						
Hapalemur aureus																						AY582550				AB098423				AY515558															AY582715		AY441446																			
Euoticus elegantulus											AY897398																													JX856227		JX856261			DQ073480		AY441469																			
Chlorocebus tantalus				AY593973	AF081577																																										JX983846					JQ231136		JX297232												
Hoolock leuconedys																																									HM631770						GU321289				HM631786		HM631810											JQ861892		
Procolobus verus													JF293249												JF293217		JF293233	JF293185																									JF293270													
Simias concolor													JF293253												JF293221		JF293237	JF293189																			DQ143883						JF293274													
Hapalemur simus																						AY582547				AB098421				AY569210												AJ891092			AY582714		AJ428977																			
Gorilla beringei																AM407464	AM407536	AM407554	AM407590	AM407446																																														
Lophocebus albigena									GQ144597	AY665644																		AY665632															JN544130				AY204830																			
Saimiri ustus																																		HM765038	HM764845		HM762643	HM761636									EU232708																			
Cacajao rubicundus								JF919262															FJ542215																							DQ145529				AF028485	AF028509															
Galagoides demidoff			AF072429								AF212955																													AF271416		JX856262			DQ073490		AY441472												AY441646							
Cheirogaleus major			AF072412																			AY582563		EU825407	AY434064	AB098457			EU825223	AY584487			EU825275												AY043347		EU825343														AY441686					
Microcebus myoxinus																								GU232128						GU327016			GU231012		JX017488												GU327355																			
Varecia variegata					AF162013																											FJ372536													AY043339		Z34985																		AY490598	
