taxon	control-region	cytochrome-b	ACT	control-region.1	CAT	CHRNA1	DQA	RHO	CTLA3	BGN	
Mesoplodon peruvianus	AY579526,AF492413	AF492414,AF304074	EU476162,AY579494,AY579493		EU447770	EU476147	EU476177	EU476117	EU476132	EU447755	
Mesoplodon densirostris	AY579514,AY579513	X92536,AY579541,AY579540	AY579479,AY579478,EU476154		EU447762	EU476139	EU476169	EU476109	EU476124	EU447747	
Mesoplodon mirus	U70465,AY579525	AY579552	AY579492,EU476160		EU447768	EU476145	EU476175	EU476115	EU476130	EU447753	
Mesoplodon bidens	AY579508,AY579507	AY579535,X92538	AY579474,EU476151		EU447759	EU476136	EU476166	EU476106	EU476121	EU447744	
Ziphius cavirostris	DQ068222,HQ400644,HQ400643	HQ400660,HQ400661,AY579562		DQ068235,HQ400644,HQ400643	GQ407913,EU447772,GQ407912	GQ407775,GQ407774,GQ407773	EU476179	EU476119	EU476134	EU447757	
Mesoplodon grayi	HQ400632,HQ400631,HQ400630	HQ400651,AY579546,HQ400650	AY579485,EU476157	HQ400631,HQ400632,AF036213	EU447765	EU476142	EU476172	EU476112	EU476127	EU447750	
Mesoplodon stejnegeri	AY579527,AY579528	AY579554,AY579553	AY579498,EU476163,AY579496		EU447771	EU476148	EU476178	EU476118	EU476133	EU447756	
Mesoplodon europaeus	AY579515,AY579516	X92537,AY579542,AY579543	AY579480,AY579481		EU447763	EU476140	EU476170	EU476110	EU476125	EU447748	
Mesoplodon hotaula	JX470545	JX470547,JX470546									
Mesoplodon ginkgodens	AY579517,AY579518,DQ422861	AY579544	AY579483,AY579482,EU476156	AY579517,DQ422861,AY579518	EU447764	EU476141	EU476171	EU476111	EU476126	EU447749	
Mesoplodon perrini	AF441254,AF441258,AF441255	AF441259,AF441263,AF441261	EU476161	AF441254,AF441255,AF441256	EU447769	EU476146	EU476176	EU476116	EU476131	EU447754	
Mesoplodon hectori	AY228107,HQ400633,AF036220	HQ400652,AY228109,AY579547	AY579486,AY579487	AY228107,AY028313,AF036220	EU447766	EU476143	EU476173	EU476113	EU476128	EU447751	
Mesoplodon traversii	AF439993,JX901028,AF439994	AY579556,JX901029,AY579555		AF439993,AF439992,AF439994							
Mesoplodon carlhubbsi	AY579512,AY579511	AY579539	EU476153,AY579477,AY579476		EU447761	EU476138	EU476168	EU476108	EU476123	EU447746	
Mesoplodon layardii	AF036219,HQ400641,AF036216	HQ400657,AY579549,HQ400656	AY579490,AY579489,AY579488	AF036216,AF036217,AF036219	EU447767	EU476144	EU476174	EU476114	EU476129	EU447752	
Indopacetus pacificus	AY162439,AY162435,AY162436	AY162442,AY162441,AY162440		AY162439,AY162435,AY162438							
Mesoplodon bowdoini	HM367089,AF036221,HQ400629	AY579537,AY579536	EU476152	AY579509,HM367089,AF036221	EU447760	EU476137	EU476167	EU476107	EU476122	EU447745	
