taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	
Cryptotis parva						AB175135						DQ630180				JN393209							
Chimarrogale platycephala				DQ630249		AB108732						DQ630178											
Notiosorex crawfordi				DQ630272		AY611573						DQ630192											
Blarina hylophaga						AY546680							JF912178	AY121896									
Suncus fellowesgordoni					JF914966	JF914983				JF914979													
Congosorex phillipsorum										EF507186	GU473580	GU473390											
Diplomesodon pulchellum				EF525051		EF524581				EF524798		EF524909											
Sorex arcticus			AY509684			JF439298						JF439300							GU929233				
Sorex rohweri						EU088302						JN889056					JN889277	JN889387					
Erinaceus europaeus		HM462041		DQ630279		JF318975									Y12521								
Ruwenzorisorex suncoides										AF274558										DQ309846	DQ309828	DQ309840	
Myosorex geata						JX193701		EU652017		AF274560	GU473538	GU473401											
Sylvisorex ollula				DQ630232		DQ630398				EF507207	AY691837	EF524998											
Crocidura hildegardeae				EF525085		EF524735				EF507188	AY691838	EF524951											
Sylvisorex johnstoni				DQ630223		DQ630392				AF252511	AY691832	EF525017											
Crocidura nimbae				EF525067		EF524597				EF524811		EF524930									DQ309832	DQ309839	
Suncus infinitesimus						EF524781				EF524889		EF525046								DQ309843	DQ309826	DQ309835	
Myosorex sclateri				DQ630289		DQ630436		EU652019		DQ630377		DQ630172								DQ317929			
Neomys anomalus				DQ630244		DQ991049			AF182182			DQ630160				AF182178							
Erinaceus concolor	AY012099	HM462032			AY011871	AF379813	AY011926																
Anourosorex yamashinai				GU981182		AB175088					GU981303	GU981107							GU981211				
Chodsigoa sodalis				GU981191		AB127978	GU981449				GU981316	GU981116											
Chodsigoa hypsibia				GU981185		GU981260	GU981444				GU981306	GU981110											
Blarina brevicauda				DQ630254		AB175134					AY691842	DQ630171	JF912161	AY121897		S73801			JQ601443				
Anourosorex squamipes				GU981181		AB175090	GU981440				GU981302	GU981106							JQ600027				
Nectogale elegans	GU981052			GU981204		AB175095	GU981462				GU981339	GU981129							GU981245				
Soriculus nigrescens	GU981057			GU981209		AB175101	GU981467				GU981346	GU981134							GU981254				
Episoriculus caudatus	GU981032			GU981194		GU981273	GU981453				GU981320	GU981120							GU981226				
Episoriculus fumidus	GU981036			GU981196		AB175108	GU981454				GU981325	GU981121							GU981232				
Chimarrogale himalayica	GU981021			GU981187		AB175094	GU981445				GU981310	GU981112							GU981218				
Blarinella griselda	GU981017			GU981184		GU981259	GU981442				GU981305	GU981109							GU981212				
Neomys fodiens				DQ630258		DQ991062	GU981463		AF182180		GU981341	GU981130				AF182174			JF499325				
