taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	
Muntiacus putaoensis		EF523644															EF523667	
Muntiacus vuquangensis	AF190675	AF108034																
Hippocamelus bisulcus													GU190860				DQ789177	
Ozotoceros bezoarticus													AF012599				DQ789192	
Alces americanus			JF443170														M98484	
Megaloceros giganteus						AY244502		AM072736		AM072741							AM182645	
Capreolus pygargus			JF499306		JN871291								AY785555				JQ979207	
Hippocamelus antisensis				DQ379362					DQ379325		DQ379342		GU190859				DQ379307	
Pudu puda				DQ379366					DQ379327		DQ379347		GU190834				AY607039	
Blastocerus dichotomus				DQ379361					DQ379324		DQ379341		AY326238				DQ379306	
Mazama gouazoupira				DQ379364					DQ379368		DQ379344				JF459198		Y08570	
Rusa timorensis				DQ379354					DQ379316		DQ379333	DQ888698					FJ556573	
Przewalskium albirostris				DQ379350					DQ379312		DQ379330	AY244498	GQ304765			AY184429	AF423202	
Mazama americana				DQ379363					DQ379326		DQ379343		GU305936		JF459195		Y08209	
Axis porcinus				DQ379349							DQ379367	AY244496	EU870592			AY184435	EU878394	
Rucervus eldi		AF108041		DQ379353				AM072734	DQ379314			DQ888697	FJ851225			AY184432	EU878390	
Dama mesopotamica				DQ379357				AM072731	DQ379319	AM072738	DQ379336		AF291896				DQ379304	
Rucervus duvaucelii		EU908275		DQ379351					DQ379313		DQ379331		EU921907			EU084669	DQ459338	
Elaphodus cephalophus	AF190684	AF108040		DQ379359					DQ379321		DQ379339	AF461765				AY184436	DQ379305	
Elaphurus davidianus				DQ379358		DQ295069			DQ379320		DQ379337	AY244501	AF291894				AF423194	
Rusa unicolor		EU223368		DQ379355					DQ379317		DQ379334	DQ888699				AY184434	FJ556574	
Axis axis		JN093049		DQ379348						AM072739	DQ379329	DQ888681	JN596151	GQ475067		DQ017832	AY607040	
Hippopotamus amphibius		AF107217		AY122012			AY122036									AY012143	Y08813	
Hydropotes inermis	AF190685	M35876	GQ329028	AY122020			AY122039		DQ379323		DQ379340	EF100132	Y08208				AJ000028	
Hexaprotodon liberiensis		AF107216									AF165653			EU168866		Y08811	Y08814	
Dama dama		AY397662		DQ379356				AM072730	DQ379318		DQ379335	DQ888701	AM279272	GQ475069		AJ885203	X56290	
Odocoileus virginianus			JF443324	DQ379365							DQ379346	EF062559	JN088530				DQ379370	
Cervus nippon		D34626		DQ379352					DQ379315		DQ379332	AB046700	AB646745	GQ475071		AY184433	JF893503	
Odocoileus hemionus			JF443321	AY122022			AF091637				DQ379345	EF062548	JN040716	GQ475059		AF091708	HM222707	
Capreolus capreolus		AY947553	HQ396231	AY122021	JN871289		AY122040		DQ365690		DQ365692	EU402964	HM121338			AY121990	AJ000024	
Alces alces		HQ848947		DQ379360	JN871293				DQ379322		DQ379338	EF062549	AF412268	FJ434496		AY184437	AJ000026	
Cervus elaphus		DQ191154		AY122017		DQ520233	AF091636		DQ365689		AY846793	EF062527	AB012385	AY453391		AY184431	AY044859	
Rangifer tarandus		EU078985	JF443442	AY122019		JN564549	AY122038		DQ379328		AF165693	AB247629	EU915206	FJ434494		AY184438	AJ000029	
