taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	
Muntiacus vuquangensis																										AF108034				
Muntiacus putaoensis																							EF523667			EF523644				
Moschiola indica				JN714151													JN690007						JN861029			JN714150	JN714191			
Tragulus napu																					JN633370	JN633734	AB122112			M55539		JN413970	EU189404	
Moschiola meminna		AF165661	AF165665	EF554688									AF165660				FJ190156								AF165663	JX570670				
Bubalus carabanensis								JX218051		AB246274				GQ259331					GQ259327	GQ259329			JQ394867	AB246275						
Tragulus javanicus	AY122013														AJ271300	AJ309714					GQ487614	GQ487603	D32189			AY121991				
Hippopotamus amphibius	AY122012			AF107223												AJ575422					AY011488	AY011425	Y08813			AF107217		JN413966	JN414894	
Axis axis	DQ379348	DQ379329		AY391763					AY456910		DQ888681	DQ379310				AY743241		DQ017832					AY607040			JN093049				
Axis porcinus	DQ379349	DQ379367		AY391767					AY540848		AY244496	DQ379311			Y11670			AY184435					EU878394			AY775785	GQ329000			
Hexaprotodon liberiensis		AF165653	AF165657	AF107222									AF165652								GQ487616	GQ487609	Y08814		AF165655	AF107216		AY243372	AY239181	
Bubalus depressicornis	JX862038	JX862079		DQ022960	JX861910	JX861927	JX861943					U18822						AF091689					D88640			U87012				
Bison bison	JX862028	JX862068			JX861899	JX861916	JX861932	JF443190				U62568		AY079141				AF091687	AY928813	DQ336542			AF036273			EU136701				
Bison bonasus	JX862029	JX862069			JX861900	JX861917	JX861933	JF444283		EU000430		AY689198		AY079142					DQ336563	DQ336543			AY689186	EU000422						
Bubalus bubalis	JX862037	JX862078		AY327817	JX861909	JX861926	JX861942	JX218054		EF567075		AY689204		DQ417872	AF259554	JF894306		DQ867005	AY928814	DQ336545				AY293620		FJ828575	JX218052			
